hours,hours_continous,summer_weekday,summer_saturday,summer_sunday,trans_weekday,trans_saturday,trans_sunday,winter_weekday,winter_saturday,winter_sunday
00:00,0,0.08636,0.08984,0.10008,0.07776,0.0802,0.0934,0.0676,0.07084,0.08744
00:15,0.252631578947368,0.07696,0.08488,0.09252,0.06956,0.07508,0.08684,0.06084,0.06816,0.08112
00:30,0.505263157894737,0.06884,0.08072,0.08592,0.0624,0.07072,0.08116,0.05488,0.06592,0.075
00:45,0.757894736842105,0.06244,0.07656,0.07992,0.0566,0.0666,0.07576,0.04992,0.06324,0.06908
01:00,1.01052631578947,0.05804,0.07172,0.07412,0.05248,0.06228,0.07012,0.04624,0.05948,0.06344
01:15,1.26315789473684,0.05528,0.06656,0.06868,0.04972,0.058,0.06448,0.04364,0.05496,0.0582
01:30,1.51578947368421,0.0536,0.0616,0.06388,0.04788,0.05404,0.05928,0.04192,0.05044,0.05364
01:45,1.76842105263158,0.05244,0.05744,0.05992,0.0466,0.05076,0.05492,0.0408,0.0466,0.04992
02:00,2.02105263157895,0.05136,0.05448,0.057,0.04552,0.0484,0.05172,0.04008,0.04396,0.04728
02:15,2.27368421052632,0.05024,0.05256,0.05496,0.04456,0.04676,0.04944,0.03964,0.04228,0.04548
02:30,2.52631578947368,0.04924,0.05144,0.05352,0.0438,0.04568,0.04784,0.03936,0.04136,0.04424
02:45,2.77894736842105,0.04828,0.05076,0.05244,0.04328,0.04496,0.0466,0.03912,0.0408,0.04328
03:00,3.03157894736842,0.04744,0.05032,0.05152,0.04304,0.04436,0.04552,0.03884,0.04032,0.04236
03:15,3.28421052631579,0.04684,0.05004,0.05076,0.043,0.04388,0.04456,0.03856,0.03988,0.04148
03:30,3.53684210526316,0.04656,0.04988,0.05024,0.04312,0.04352,0.0438,0.03836,0.03948,0.04068
03:45,3.78947368421053,0.0466,0.04992,0.04992,0.04328,0.04328,0.04328,0.03828,0.03912,0.03996
04:00,4.04210526315789,0.04712,0.05012,0.04992,0.04344,0.04312,0.04308,0.03844,0.03876,0.03932
04:15,4.29473684210526,0.048,0.0504,0.05,0.04372,0.04308,0.04308,0.0388,0.03848,0.03884
04:30,4.54736842105263,0.04924,0.05064,0.05008,0.04416,0.04312,0.04316,0.03932,0.03832,0.03848
04:45,4.8,0.05076,0.05076,0.04992,0.04496,0.04328,0.04328,0.03996,0.03828,0.03828
05:00,5.05263157894737,0.05264,0.05076,0.04948,0.04628,0.04356,0.04328,0.04088,0.03848,0.03828
05:15,5.30526315789474,0.05564,0.05088,0.04892,0.04892,0.0442,0.04324,0.04308,0.03908,0.0384
05:30,5.55789473684211,0.06052,0.0516,0.0484,0.05376,0.0454,0.04324,0.04764,0.04032,0.03868
05:45,5.81052631578947,0.06824,0.05328,0.04828,0.0616,0.04744,0.04328,0.05576,0.04244,0.03912
06:00,6.06315789473684,0.0792,0.0562,0.04868,0.07288,0.05052,0.04352,0.068,0.04564,0.03968
06:15,6.31578947368421,0.09196,0.0604,0.04984,0.08632,0.05488,0.04432,0.0828,0.04992,0.0404
06:30,6.56842105263158,0.10476,0.06584,0.05188,0.10008,0.06072,0.04604,0.09804,0.05524,0.04132
06:45,6.82105263157895,0.11568,0.0724,0.05492,0.11236,0.06824,0.04912,0.11152,0.0616,0.04244
07:00,7.07368421052632,0.12344,0.08004,0.0592,0.1218,0.07748,0.05388,0.12164,0.06892,0.044
07:15,7.32631578947368,0.12856,0.08848,0.06488,0.12848,0.08788,0.06044,0.12852,0.07708,0.0466
07:30,7.57894736842105,0.132,0.0974,0.07224,0.13292,0.09864,0.06884,0.13272,0.08608,0.05108
07:45,7.83157894736842,0.13484,0.10652,0.08156,0.13568,0.10904,0.07908,0.13484,0.09572,0.05828
08:00,8.08421052631579,0.1378,0.1156,0.09288,0.13716,0.11844,0.09108,0.13544,0.10584,0.0686
08:15,8.33684210526316,0.14072,0.1244,0.10564,0.13772,0.12668,0.10428,0.13476,0.1158,0.08132
08:30,8.58947368421053,0.1432,0.1328,0.11904,0.13768,0.13384,0.118,0.13312,0.12488,0.09516
08:45,8.8421052631579,0.14484,0.14068,0.13232,0.13732,0.13984,0.13152,0.13068,0.13232,0.10904
09:00,9.09473684210526,0.14532,0.1478,0.14484,0.13692,0.14476,0.14416,0.12772,0.13764,0.12192
09:15,9.34736842105263,0.14488,0.15396,0.15616,0.1364,0.14884,0.15556,0.12456,0.14112,0.13372
09:30,9.6,0.14376,0.15892,0.166,0.13572,0.15236,0.16532,0.12156,0.14332,0.1444
09:45,9.85263157894737,0.14232,0.16232,0.17396,0.13484,0.15564,0.17312,0.11904,0.14484,0.15396
10:00,10.1052631578947,0.1408,0.16408,0.17996,0.13368,0.15892,0.1788,0.11724,0.14604,0.16256
10:15,10.3578947368421,0.13948,0.16472,0.1846,0.13244,0.16204,0.18312,0.1162,0.1472,0.17048
10:30,10.6105263157895,0.13852,0.165,0.18872,0.13136,0.16488,0.187,0.11572,0.14844,0.17804
10:45,10.8631578947368,0.13816,0.16564,0.19308,0.13068,0.16728,0.19144,0.11568,0.1498,0.1856
11:00,11.1157894736842,0.13864,0.16712,0.19828,0.13064,0.16916,0.197,0.11604,0.15148,0.19332
11:15,11.3684210526316,0.14008,0.16944,0.20376,0.13152,0.17076,0.20304,0.117,0.15352,0.2006
11:30,11.6210526315789,0.14264,0.17236,0.20868,0.13364,0.17252,0.20848,0.11872,0.156,0.20664
11:45,11.8736842105263,0.14648,0.1756,0.21224,0.13732,0.1748,0.21224,0.12152,0.15896,0.21056
12:00,12.1263157894737,0.15152,0.17896,0.21372,0.1426,0.17772,0.21348,0.1254,0.1624,0.2118
12:15,12.3789473684211,0.15672,0.18184,0.21276,0.14824,0.18076,0.2118,0.12956,0.16576,0.2102
12:30,12.6315789473684,0.16076,0.18372,0.20904,0.1528,0.18312,0.207,0.13304,0.16844,0.20588
12:45,12.8842105263158,0.16232,0.18396,0.20224,0.1548,0.18396,0.19892,0.13484,0.1698,0.19892
13:00,13.1368421052632,0.16048,0.18216,0.19244,0.15324,0.18272,0.18764,0.13424,0.1694,0.18956
13:15,13.3894736842105,0.15608,0.17868,0.18088,0.14892,0.1798,0.17464,0.13172,0.16756,0.17872
13:30,13.6421052631579,0.1502,0.17412,0.1692,0.14316,0.17584,0.16168,0.12804,0.16476,0.16732
13:45,13.8947368421053,0.144,0.16896,0.15896,0.13732,0.17144,0.15064,0.124,0.16148,0.15648
14:00,14.1473684210526,0.13844,0.16376,0.1514,0.1324,0.16716,0.1428,0.12024,0.15812,0.14696
14:15,14.4,0.1336,0.15884,0.14596,0.12836,0.16308,0.13756,0.11684,0.15488,0.13888
14:30,14.6526315789474,0.12936,0.15464,0.1416,0.12484,0.15924,0.13388,0.11364,0.1518,0.13212
14:45,14.9052631578947,0.12568,0.15148,0.13732,0.12152,0.15564,0.13068,0.11068,0.149,0.12652
15:00,15.1578947368421,0.12244,0.14956,0.1324,0.11816,0.15232,0.12708,0.10792,0.14652,0.12196
15:15,15.4105263157895,0.11964,0.14856,0.127,0.11484,0.14944,0.12312,0.10544,0.14444,0.11816
15:30,15.6631578947368,0.1174,0.148,0.12156,0.11172,0.14716,0.119,0.10356,0.14276,0.11476
15:45,15.9157894736842,0.11568,0.14732,0.11652,0.10904,0.14564,0.11484,0.10236,0.14148,0.11152
16:00,16.1684210526316,0.11464,0.14624,0.11224,0.10692,0.14504,0.111,0.10216,0.14084,0.10832
16:15,16.4210526315789,0.11424,0.14504,0.10888,0.10568,0.1454,0.10776,0.10316,0.14168,0.10588
16:30,16.6736842105263,0.1146,0.14416,0.10668,0.10544,0.14668,0.10556,0.10564,0.14488,0.10524
16:45,16.9263157894737,0.11568,0.144,0.10572,0.10652,0.149,0.10488,0.10988,0.15148,0.10736
17:00,17.1789473684211,0.1176,0.14492,0.10612,0.10908,0.15224,0.10596,0.116,0.16192,0.11288
17:15,17.4315789473684,0.12032,0.14696,0.10776,0.11304,0.15644,0.1088,0.12372,0.1746,0.12088
17:30,17.6842105263158,0.12388,0.15,0.11044,0.11836,0.16148,0.1132,0.13264,0.18736,0.13004
17:45,17.9368421052632,0.12816,0.15396,0.11404,0.12484,0.16728,0.11904,0.14232,0.19808,0.139
18:00,18.1894736842105,0.13324,0.15876,0.11836,0.1324,0.17376,0.126,0.15236,0.20516,0.1468
18:15,18.4421052631579,0.13892,0.164,0.1234,0.1406,0.1804,0.13368,0.1622,0.20912,0.15352
18:30,18.6947368421053,0.14504,0.1692,0.12916,0.14908,0.18672,0.14152,0.17124,0.21112,0.15968
18:45,18.9473684210526,0.15148,0.17396,0.13568,0.15732,0.19228,0.149,0.17896,0.21224,0.16564
19:00,19.2,0.15796,0.1778,0.1428,0.16488,0.19652,0.15552,0.18476,0.2132,0.17156
19:15,19.4526315789474,0.1638,0.18052,0.14976,0.17108,0.199,0.1606,0.1882,0.213,0.17644
19:30,19.7052631578947,0.16828,0.1818,0.15572,0.17516,0.1994,0.1636,0.18892,0.21036,0.17904
19:45,19.9578947368421,0.17064,0.18144,0.1598,0.17644,0.19724,0.16396,0.18644,0.20392,0.17812
